AR6 Category,count
N/A (RCP4.5 CMIP5 scenario),1
C3 (Lower 2°C warming),1
RCP 8.5 (pre-AR6 scenario),1
"N/A (RCP framework, not AR6)",1
RCP8.5 (Radiative forcing pathway 8.5 W m⁻²),1
C5 warming level (RCP4.5 scenario),1
"SSP2-4.5 (Moderate mitigation pathway, CMIP6 equivalent to RCP4.5)",1
High emissions (RCP8.5 equivalent),1
Moderate / SSP2-4.5,1
SSP5-8.5 (very-high-emissions scenario),1
C7 (SSP3-7.0 warms ~3.6-4.8 °C; overlaps C6–C7),1
N/A (RCP2.6 is not an SSP scenario; AR6 categories apply to SSP-based scenarios.),1
High-end scenario (SSP5-8.5 equivalent),1
C3 (Approximate RCP4.5 equivalent),1
Not applicable for CMIP5 GCM outputs,1
N/A (custom),1
C5 (Likely below 3°C),1
Current Policies,1
N/A (SRES scenario),1
High GHG emissions (RCP8.5 forcing),1
C8-high overshoot (SSP5-8.5 equivalent),1
N/A (RCP4.5 is an RCP scenario with no direct SSP analogue in AR6),1
C4 (2.5-3°C warming),1
C7-E,1
C1/C2 (SSP1-2.6 equivalent),1
RCP8.5 (CMIP5 pathway),1
CMIP5 RCP,1
C8 (High GHG emissions—SSP5-8.5),1
C4-5,1
C3 (AR6 equivalent of RCP4.5 is SSP2-4.5),1
Approximately SSP5-8.5 (High),1
Illustrative Emissions Pathway (RCP8.5),1
C2-C3 (Intermediate),1
SSP2-4.5 (exact CMIP6 equivalent),1
C8 (> 4 °C),1
"N/A (RCP6.0, approximate equivalent to SSP2-4.5/SSP3-7.0 range)",1
SSP5-8.5 (closest AR6 equivalent),1
Illustrative Scenario (High GHG emissions),1
C4 (Lower 2°C),1
RCP6.0 (Legacy CMIP5 scenario - no direct AR6 equivalent),1
N/A (RCP2.6 is a pre-SSP scenario),1
C2-High,1
RCP8.5 (High GHG emissions),1
C7-C8 (High GHG emissions) – RCP8.5 (climate forcing only),1
Other,1
SSP2-4.5 corresponds to AR6 C4 warming (~2.5 °C),1
C8 (High warming),1
High emissions scenario (RCP8.5 equivalent),1
C8 (RCP8.5 equivalent to SSP5-8.5),1
RCP (CMIP5/6),1
N/A (RCP4.5 - pre-SSP),1
Very High,1
C7 High GHG emissions,1
C3 (Below 3°C) - Corresponds to SSP2-4.5 in AR6 terminology,1
C1 (Below ~1.5°C),1
Legacy RCP8.5 (pre-AR6 scenario),1
C3 (High mitigation scenario),1
"N/A (RCP scenario, pre-AR6 framework)",1
RCP (8.5 W/m²),1
SSP2-4.5 (RCP equivalent),1
C7 (>4°C pathway),1
"N/A (CMIP5 RCP scenario - AR6 mapping not directly applicable as AR6 uses SSP framework. RCP2.6 corresponds approximately to SSP1-2.6 (Category C1, ~1.8°C))",1
Likely range: 1.3-1.7°C (median ~1.5°C),1
RCP only,1
C5 (SSP2-4.5 / RCP4.5 equivalent),1
RCP4.5 (legacy),1
Land Use,1
G,1
N/A_HAPPI,1
C1 equivalent (RCP scenario),1
C1 (equates to SSP1-1.9 ~RCP2.6),1
Custom agricultural management scenario (planting date),1
C3 (Intermediate SSP-RCP),1
"C6 (≥ 4.0 °C, < 5.0 °C)",1
C2 (1.5 °C with no or limited overshoot),1
C3/C4 (RCP4.5/SSP2-4.5 equivalent),1
SSP5-8.5 (or RCP8.5 forcing),1
C3 (Below 2°C) - RCP4.5 equivalent,1
Very high GHG emissions (SSP5-8.5 equivalent),1
C1 (RCP-2.6 equivalent),1
SSP5-8.5 (Category 8),1
Custom (RCP8.5 climate + B2 land-use),1
C4 (moderate policies scenario),1
RCP2.6 (CMIP5 equivalent),1
C5-C6 (NDC equivalent),1
RCP8.5 (SSP5-8.5 analogue),1
SSP2-4.5 (Intermediate),1
C4 (2°C–3°C),1
C1 (closest SSP analogue),1
C3 (intermediate pathway),1
C1 (very low emissions),1
C1a (1.5°C with low overshoot),1
RCP8.5 (baseline RCP scenario),1
N/A (hybrid scenario),1
C4 (Medium),1
RCP (8.5 equivalent),1
RCP2.6 - see characteristics below,1
N/A (SRES A2 scenario),1
CMIP5 reference scenario / RCP 8.5,1
SRES A2,1
C2: Below 3°C,1
C3 (high emissions),1
N/A (equivalent to SSP5-8.5 which would be C8),1
Below 1.5°C (C1) (no or limited overshoot),1
N/A (RCP8.5 is a pre-AR6 scenario; closest AR6 analogue is SSP5-8.5 but not identical.),1
C4–C5 range,1
C3 (moderate mitigation),1
C3/C4 (SSP2-4.5),1
Illustrative (RCP-based),1
"C8 (High GHG emissions, SSP5-8.5 equivalent)",1
C7 (SSP3-7.0),1
C7 - High GHG emissions,1
RCP8.5 (RCP scenario),1
C3: below 3°C (>67%),1
C5 (approximate RCP4.5 equivalent),1
Approximately corresponds to AR6 C5 category,1
C8 (High CO₂ emissions),1
High (RCP8.5 forcing level),1
SRES A1B-based,1
SSP5-8.5 / High GHG emissions,1
C4 (RCP 4.5 ≈ SSP2-4.5),1
High-emissions scenario (SSP3-7.0),1
C3 (Approximate RCP2.6 equivalent),1
N/A (RCP2.6 is a CMIP5/AR5 scenario and not directly mappable to AR6 SSP categories),1
RCP8.5 (equivalent to SSP5-8.5 forcing),1
N/A (CMIP5 RCP6.0 pathway),1
C5 (SSP2-4.5/RCP4.5 equivalent),1
C8 (RCP only),1
"C5 (High emissions, >4°C)",1
C8 - SSP5-8.5 (RCP8.5 equivalent),1
"C8 (High GHG, SSP5-8.5)",1
Lower 2°C (RCP4.5 equivalent),1
SSP2-4.5 (formerly RCP4.5),1
C8 (High GHG emissions) corresponding to SSP5-8.5,1
C2 (return to 1.5°C after high overshoot),1
Not an SSP scenario,1
C5 (Below 2°C),1
Illustrative (RCP8.5),1
Very High GHG emissions (SSP5-8.5),1
C8 - High GHG emissions (RCP8.5 equivalent),1
"C3 (Likely below 3°C, best estimate ~2.7°C)",1
Custom scenario,1
N/A (No-policy baseline scenario),1
C1 (RCP2.6-equivalent pathway),1
C1 or C2 (RCP2.6 equivalent),1
N/A (RCP4.5 is a CMIP5 scenario),1
Illustrative Mitigation Pathway (SSP1-2.6),1
C6a (2.5-2.9°C),1
"C6 (concentration driven, SSP2-4.5 analogue)",1
RCP8.5 (RCP equivalent),1
C4 or C5 (High warming scenario),1
"C1 (RCP equivalent, SSP1-2.6)",1
C8 (AR6 equivalent for RCP8.5 is SSP5-8.5),1
SSP1-2.6 (formerly RCP2.6),1
C1 (SSP1-2.6 / RCP2.6 equivalent),1
C1 (Likely below 1.5°C),1
"N/A (RCP8.5 is from CMIP5/RCP framework, not AR6/SSP framework)",1
C1 (1.5°C pathway with no or low overshoot),1
C8 (very-high GHG emissions),1
C8 (High) - RCP8.5 equivalent to SSP5-8.5,1
C5 (RCP equivalent) - Climate component only,1
C8 ++,1
SSP5-8.5 (C8 – High GHG),1
SSP3-70,1
C3a-C4,1
C4 (Likely warming 2°C-2.5°C),1
C6b,1
"N/A (RCP4.5, CMIP5)",1
"C8 (High GHG emissions, RCPEquivalent=SSP5-8.5)",1
Legacy RCP 4.5 (approx. C6),1
C1 (Below 1.5°C high overshoot),1
C7 (high warming),1
High warming scenario (aligned with RCP8.5),1
C7 (High) or Pre-SSP RCP scenario (equivalent to SSP5-8.5),1
SSP5-8.5 (Non-standard combination: RCP8.5 with SSP3 socioeconomic assumptions),1
C1 (likely below 2 °C),1
"N/A (RCP scenario, not classified under AR6 C1-C8 categories)",1
"N/A (RCP8.5, CMIP5 scenario (SSP5-8.5 equivalent))",1
C8 (SSP5-8.5) (>4 °C warming category as defined in AR6 WGIII SPM).,1
RCP4.5 based (legacy scenario),1
"C8 (High emissions, RCP8.5)",1
RCP4.5 (Approx. 4.5 W/m² forcing),1
C4 (Medium-low emissions),1
C4-C5 (Intermediate scenario range),1
SSP2-4.5 (AR6 equivalent to RCP6.0),1
C5-6,1
C5/C6,1
C3 (Lower 2°C - Below 3°C),1
C8 (>4°C) [SSP5-8.5 equivalent],1
C8 (SSP5-8.5/RCP8.5 equivalent),1
8,1
"High (SSP5-8.5, RCP8.5 equivalent)",1
C2 - Below 3°C,1
SSP2-4.5 (closest SSP equivalent),1
C3 (RCP4.5 equivalent to SSP2-4.5),1
Custom Scenario,1
SSP2 – framework pathway (no specific climate target reported),1
C2 (model-dependent),1
C6 (Intermediate),1
"C3 (Likely below 3°C, >2°C)",1
RCP4.5 – Illustrative Mitigation Pathway equivalent,1
RCP8.5 (not an SSP scenario),1
SSP5-8.5 (high GHG emissions - RCP8.5 equivalent),1
RCP equivalent (Not an SSP scenario),1
C5 / SSP2-4.5 equivalent,1
Custom (modified RCP8.5),1
~2.7 °C warming pathway (RCP4.5 equivalent),1
Not applicable for SRES scenarios,1
C3: likely to limit warming to 1.5°C (>=50%),1
C4 (Below 2.5°C),1
C3: limit warming to 2°C (>50%),1
C8: unconstrained warming >4°C,1
SSP5-8.5 (High-emissions),1
C8 (>4.4°C),1
C8 (High (>4°C)),1
SSP5-8.5: Used for RCP8.5,1
RCP4.5 (pre-SSP framework),1
C1 (if combined with appropriate forcing pathway like SSP1-1.9),1
C3 (intermediate),1
RCP4.5 (AR6 assessed pathway),1
C1 (SSP1-RCP2.6),1
N/A (SRES scenario - pre-AR6 framework),1
N/A - Physical Experiment,1
C3 (Likely below 2.5°C),1
C2/Likely below 2°C,1
C1: Low GHG emissions (SSP1-2.6),1
C1 (modified),1
Multiple possible (RCP4.5),1
C7-C8 (SSP5-8.5 equivalent),1
N/A‐RCP only,1
C8 (High GHG emissions) - RCP8.5 equivalent,1
C1 (RCP2.6 analogue),1
SSP5-8.5 (legacy RCP8.5),1
High emission benchmark (RCP8.5),1
C7-C8 (High),1
"N/A (RCP8.5, not SSP)",1
C1 (SSP1-2.6) - RCP2.6 equivalent,1
C3 (Limit warming to 2°C),1
C8: limit warming to >4°C,1
C8: policies lead to >4°C warming,1
C1 (Likely below 2 °C),1
N/A (SSP not specified),1
"C8 (High GHG emissions, RCP8.5 equivalent)",1
"C5 (2.3-3.0 °C, no-overshoot)",1
SSP3-7.0 / 3.6 °C,1
C4a,1
C2 (RCP 2.6 equivalent),1
RCP8.5 (≈SSP5-8.5 forcing),1
C0-carbon-input,1
C1a (Below 1.5°C with no or limited overshoot),1
