File Name,Scenario Name,AR6 Category,AR6 Carbon Budget,cb,cb_parse_mode,cb_relation,cb_exclusion_reason,AR6 cross-check flag
Woodward 等 - 2010 - CHANGING CLIMATE AND THE IRISH LANDSCAPE.pdf,B1,C8,652.4725285661066,652.4725285661066,field-only scalar,,,False
Woodward 等 - 2010 - CHANGING CLIMATE AND THE IRISH LANDSCAPE.pdf,B2,C8,835.4639342141137,835.4639342141137,field-only scalar,,,False
Lai 等 - 2023 - Root zone soil moisture in over 25 % of global land permanently beyond pre-industrial variability as.pdf,SSP1-2.6,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Zhang 等 - 2018 - Standardized Precipitation Evapotranspiration Index is highly correlated with total water storage ov.pdf,RCP2.6,C1,~400 Gt CO2,400.0,unit-bound scalar,~,,False
"Chen 等 - 2018 - Integrated inexact energy systems planning under climate change A case study of Yukon Territory, Ca.pdf",Business-as-Usual (BAU) for Yukon Territory,C7: limit warming to 4°C (>50%),4421.106912693341,4421.106912693341,field-only scalar,,,False
Liu 等 - 2021 - Assessing Soil Organic Carbon Stock Dynamics under Future Climate Change Scenarios in the Middle Qil.pdf,RCP2.6,C1 (RCP equivalent),~500 Gt CO2 (from 2020 for 1.5°C with 50% probability),500.0,unit-bound scalar,~,,False
Singh和Kennedy - 2015 - Estimating future energy use and CO2 emissions of the world's cities.pdf,A2,C4,102.7723603383973,102.7723603383973,field-only scalar,,,False
Ma 等 - 2022 - How Does the Water Conservation Function of Hulunbuir Forest-Steppe Ecotone Respond to Climate Chang.pdf,S1,C3: limit warming to 2°C (>67%),893.060956844902,893.060956844902,field-only scalar,,,False
Ma 等 - 2022 - How Does the Water Conservation Function of Hulunbuir Forest-Steppe Ecotone Respond to Climate Chang.pdf,S2,C4: limit warming to 2°C (>50%),1447.733517816087,1447.733517816087,field-only scalar,,,False
Sunde 等 - 2017 - Integrating downscaled CMIP5 data with a physically based hydrologic model to estimate potential cli.pdf,RCP2.6,C3 (RCP equivalent),900 Gt CO2,900.0,unit-bound scalar,,,False
Kam 等 - 2021 - Global warming and population change both heighten future risk of human displacement due to river fl.pdf,SSP1-2.6,C1,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Mayer 等 - 2024 - Impact of climate change on snow avalanche activity in the Swiss Alps.pdf,RCP2.6,C1 (Below 1.5°C),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Zhou 等 - 2025 - Projected Temperature and Precipitation Changes in Central Asia From High-Resolution WRF Simulation.pdf,SSP1-2.6,C1,~500 Gt CO2 from 2020 for 1.5°C (50%),500.0,unit-bound scalar,~,,False
MacMartin 等 - 2015 - On solar geoengineering and climate uncertainty.pdf,G1,C2: return warming to 1.5°C (>50%) after a high overshoot,602.1546766650441,602.1546766650441,field-only scalar,,,False
"Brito-Morales 等 - 2022 - Towards climate-smart, three-dimensional protected areas for biodiversity conservation in the high s.pdf",SSP1-2.6,C1,~500 Gt CO2 from 2020,500.0,unit-bound scalar,~,,False
"Brito-Morales 等 - 2022 - Towards climate-smart, three-dimensional protected areas for biodiversity conservation in the high s.pdf",SSP2-4.5,C5,2744.812344177873,2744.812344177873,field-only scalar,,,False
Sun 等 - 2023 - Spatiotemporal Projections of Precipitation in the Lancang-Mekong River Basin Based on CMIP6 Models.pdf,SSP126,C3,942.4855433794125,942.4855433794125,field-only scalar,,,False
Sun 等 - 2023 - Spatiotemporal Projections of Precipitation in the Lancang-Mekong River Basin Based on CMIP6 Models.pdf,SSP245,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
Li 等 - 2025 - Should we think of observationally constrained multidecade climate projections as predictions.pdf,SSP1-2.6,C1,500.0,500.0,field-only scalar,,,False
Flower 等 - 2017 - Visioning the Future Scenarios Modeling of the Florida Coastal Everglades.pdf,Baseline,C7: limit warming to 4°C (>50%),4067.198904304981,4067.198904304981,field-only scalar,,,False
Luchtenbelt 等 - 2025 - Quantifying food security and mitigation risks consequential to climate change impacts on crop yield.pdf,SSP2-RCP2.6 (composite),C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Sunde 等 - 2018 - An integrated modeling approach for estimating hydrologic responses to future urbanization and clima.pdf,Δ CC,C5,440.0556818855494,440.0556818855494,field-only scalar,,,True
Sunde 等 - 2018 - An integrated modeling approach for estimating hydrologic responses to future urbanization and clima.pdf,Mid-Century Urbanization with Current Climate (Δ U),C7: limit warming to 4°C (>50%),3781.291962942676,3781.291962942676,field-only scalar,,,False
Sunde 等 - 2018 - An integrated modeling approach for estimating hydrologic responses to future urbanization and clima.pdf,Δ UC,C3: limit warming to 2°C (>67%),655.1227362162149,655.1227362162149,field-only scalar,,,False
Swingedouw 等 - 2021 - On the risk of abrupt changes in the North Atlantic subpolar gyre in CMIP6 models.pdf,ssp126,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Swingedouw 等 - 2021 - On the risk of abrupt changes in the North Atlantic subpolar gyre in CMIP6 models.pdf,ssp245,C5,1200 GtCO₂ (model-specific),1200.0,unit-bound scalar,,,False
Williams 等 - 2010 - Using Tree Rings to Predict the Response of Tree Growth to Climate Change in the Continental United.pdf,A2,C7,102.7723603383973,102.7723603383973,field-only scalar,,,True
Murayama和Tan - 2025 - Statistical downscaling method to determine the Antamok Watershed hydrological response to climate c.pdf,SSP2-4.5,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
Murayama和Tan - 2025 - Statistical downscaling method to determine the Antamok Watershed hydrological response to climate c.pdf,SSP1-2.6,C1,"500 GtCO₂ (post-2020, for 1.5°C with 50% probability)",500.0,unit-bound scalar,,,False
"Strzepek 等 - 2015 - Benefits of greenhouse gas mitigation on the supply, management, and use of water resources in the U.pdf",REF,C7: limit warming to 4°C (>50%),4631.628201551354,4631.628201551354,field-only scalar,,,False
Siqueira-Silva 等 - 2025 - Von Humboldt's Nightmare Effects of Climate Change on the Plant Biodiversity of Mount Chimborazo (T.pdf,SSP2-4.5,C3,2744.81 GtCO₂,2744.81,unit-bound scalar,,,False
Soboll 等 - 2011 - Integrated regional modelling and scenario development to evaluate future water demand under global.pdf,Baseline,C7: limit warming to 4°C (>50%),4067.198904304981,4067.198904304981,field-only scalar,,,False
Song Yanling和Zhao Yanxia - 2012 - Effects of drought on winter wheat yield in north China during 2012-2100.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Spittlehouse和Dymond - 2022 - Interaction of elevation and climate change on fire weather risk.pdf,CanESM85,C7,1150-1400 GtCO₂ (from 2020),1275.0,unit-bound range midpoint,,,False
Smith 等 - 2024 - Future malaria environmental suitability in Africa is sensitive to hydrology.pdf,RCP 2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Xu 等 - 2019 - Future increases in irrigation water requirement challenge the water-food nexus in the northeast far.pdf,RCP2.6,C1 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Miller 等 - 2024 - Environmental variation predicts patterns of genomic variation in an African tropical forest frog.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Miller 等 - 2024 - Environmental variation predicts patterns of genomic variation in an African tropical forest frog.pdf,RCP8.5,C8 (RCP equivalent),6.5 k Gt CO₂ cumulative for 1850-2100,6500.0,unit-bound scalar,,,False
Morrison 等 - 2024 - Projected changes to Arctic shipping routes after stratospheric aerosol deployment in the ARISE-SAI.pdf,SSP2-4.5,C3,1200 GtCO2,1200.0,unit-bound scalar,,,False
Lochhead 等 - 2019 - Examining the vulnerability of localized reforestation strategies to climate change at a macroscale.pdf,RCP8.5 with 30% planting effort,C8a (High GHG emissions),Exceeded,,excluded,,no unambiguous carbon-budget value,False
Niittynen 等 - 2018 - Snow cover is a neglected driver of Arctic biodiversity loss.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Qin 等 - 2023 - Global assessment of the carbon-water tradeoff of dry cooling for thermal power generation.pdf,RCP8.5,SSP5-8.5 (very-high-emissions scenario),>7000 GtCO₂ from pre-industrial to 2100,7000.0,unit-bound scalar,>,,False
Zhang 等 - 2020 - Impacts of climate and planting structure changes on watershed runoff and nitrogen and phosphorus lo.pdf,B1,C5,652.4725285661066,652.4725285661066,field-only scalar,,,False
Swain 等 - 2020 - Increased Flood Exposure Due to Climate Change and Population Growth in the United States.pdf,RCP8.5 2050–2079,C6 (SSP5-8.5),Exceeded (>1150 GtCO₂ from 2020),1150.0,unit-bound scalar,>,,False
Panda 等 - 2018 - Assessing distributions of two invasive species of contrasting habits in future climate.pdf,A2,C6,102.7723603383973,102.7723603383973,field-only scalar,,,True
Charlton-Perez 等 - 2010 - The potential to narrow uncertainty in projections of stratospheric ozone over the 21st century.pdf,REF-B2,C5,4631.628201551354,4631.628201551354,field-only scalar,,,False
Charlton-Perez 等 - 2010 - The potential to narrow uncertainty in projections of stratospheric ozone over the 21st century.pdf,SCN-GHG-RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Soliani 等 - 2024 - Predicting the distribution of plant species from southern South America are the hotspots of geneti.pdf,SSP126,C1,~500 Gt CO2 from 2020,500.0,unit-bound scalar,~,,False
Lockwood 等 - 2024 - Socioeconomic distributional impacts of evaluating flood mitigation activities using equity-weighted.pdf,SSP2-4.5,C2,1150,1150.0,field-only scalar,,,False
Maury 等 - 2025 - The Ocean System Pathways (OSPs) A New Scenario and Simulation Framework to Investigate the Future.pdf,OSP1,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Maury 等 - 2025 - The Ocean System Pathways (OSPs) A New Scenario and Simulation Framework to Investigate the Future.pdf,OSP2,Not applicable,Not applicable,,excluded,,no unambiguous carbon-budget value,False
"Yan 等 - 2016 - Streamflow response to future climate and land use changes in Xinjiang basin, China.pdf",RCP 2.6,C1 (SSP1-2.6 equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Su 等 - 2023 - Improved Understanding of Trade-Offs and Synergies in Ecosystem Services via Fine Land-Use Classific.pdf,SSP1-2.6-EP,C1,~400-900 Gt CO2 from 2020 (varies),650.0,unit-bound range midpoint,~,,False
Su 等 - 2023 - Improved Understanding of Trade-Offs and Synergies in Ecosystem Services via Fine Land-Use Classific.pdf,SSP2-4.5-ND,C3a,2744.812344177873,2744.812344177873,field-only scalar,,,False
Williams 等 - 2018 - The Lancet Countdown on health benefits from the UK Climate Change Act a modelling study for.pdf,Baseline,C7: limit warming to 4°C (>50%),4067.198904304981,4067.198904304981,field-only scalar,,,False
Wu 等 - 2014 - Impact of Climate Change on Reservoir Flood Control in the Upstream Area of the Beijiang River Basin.pdf,RCP2.6,C1,~500 Gt CO2 from 2020,500.0,unit-bound scalar,~,,False
Xu 等 - 2019 - Regional Impacts of Climate and Land Cover on Ecosystem Water Retention Services in the Upper Yangtz.pdf,Baseline Scenario for Water Retention Assessment in the Upper Yangtze River Basin,C3: limit warming to 2°C (>67%),893.060956844902,893.060956844902,field-only scalar,,,False
Xu 等 - 2019 - Regional Impacts of Climate and Land Cover on Ecosystem Water Retention Services in the Upper Yangtz.pdf,S2,C4: limit warming to 2°C (>50%),1447.733517816087,1447.733517816087,field-only scalar,,,False
Nikas 等 - 2021 - Where is the EU headed given its current climate policy A stakeholder-driven model inter-comparison.pdf,Current Policies,C7: limit warming to 4°C (>50%),4182.783765496274,4182.783765496274,field-only scalar,,,False
"Zhou 等 - 2025 - Incorporating Climate Spatial Heterogeneity, Rarity, and Temporal Stability to Identify Optimal Clim.pdf",CHIS under SSP126,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
"Zhou 等 - 2025 - Incorporating Climate Spatial Heterogeneity, Rarity, and Temporal Stability to Identify Optimal Clim.pdf",CHIRS under SSP585,C8,Exhausted by ~2030-2040 from 2020,,excluded,,no unambiguous carbon-budget value,False
Sultan 等 - 2023 - Less negative impacts of climate change on crop yields in West Africa in the new CMIP6 climate simul.pdf,RCP4.5/SSP245,C2,2744.812344 Gt CO₂,2744.812344,unit-bound scalar,,,True
Sultan 等 - 2023 - Less negative impacts of climate change on crop yields in West Africa in the new CMIP6 climate simul.pdf,RCP2.6/SSP126,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Kyprioti 等 - 2021 - Is the current Mediterranean network of marine protected areas resilient to climate change.pdf,RCP8.5,SSP5-8.5,Very high (exceeds 5000 GtCO₂ cumulative by 2100),5000.0,unit-bound scalar,,,False
Vogt-Vincent 等 - 2025 - Anthropogenic climate change will likely outpace coral range expansion.pdf,SSP1-2.6,C1,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Vogt-Vincent 等 - 2025 - Anthropogenic climate change will likely outpace coral range expansion.pdf,SSP2-4.5,C2,2744.812344177873,2744.812344177873,field-only scalar,,,True
Leda 等 - 2025 - Climate Change Impacts on Rainfall Variability and Adaptive Reservoir Operation in a Multi-Reservoir.pdf,SSP1-2.6,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Leda 等 - 2025 - Climate Change Impacts on Rainfall Variability and Adaptive Reservoir Operation in a Multi-Reservoir.pdf,SSP2-4.5,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
Kwiatkowski 等 - 2023 - Modified future diurnal variability of the global surface ocean CO2 system.pdf,SSP1-2.6,C1,500.0,500.0,field-only scalar,,,False
Nong 等 - 2019 - Growth of low emission-intensive energy production and energy impacts in Vietnam under the new regul.pdf,Increased tax on petroleum products by 33.33%,C3: limit warming to 2°C (>67%),893.060956844902,893.060956844902,field-only scalar,,,False
Nong 等 - 2019 - Growth of low emission-intensive energy production and energy impacts in Vietnam under the new regul.pdf,Increased Tax on Coal in Vietnam,C4: limit warming to 2°C (>50%),1447.733517816087,1447.733517816087,field-only scalar,,,False
Luo 等 - 2020 - Relative Importance of Land Use and Climate Change on Hydrology in Agricultural Watershed of Souther.pdf,S1,C3: limit warming to 2°C (>67%),893.060956844902,893.060956844902,field-only scalar,,,False
Luo 等 - 2020 - Relative Importance of Land Use and Climate Change on Hydrology in Agricultural Watershed of Souther.pdf,S2,C4: limit warming to 2°C (>50%),1447.733517816087,1447.733517816087,field-only scalar,,,False
Modi 等 - 2025 - Sea level rise amplifies fluvial flooding in coastal megacities a multi-scenario analysis.pdf,SSP1-RCP2.6,C1 (RCP equivalent),~500 Gt CO₂ from 2020 for 50% chance of 1.5°C,500.0,unit-bound scalar,~,,False
Modi 等 - 2025 - Sea level rise amplifies fluvial flooding in coastal megacities a multi-scenario analysis.pdf,SSP5-RCP8.5,C8 (High GHG emissions),Exhausted (near-zero remaining),,excluded,,no unambiguous carbon-budget value,False
Marushka 等 - 2019 - Potential impacts of climate-related decline of seafood harvest on nutritional status of coastal Fir.pdf,RCP2.6,C1 (Below 1.5°C),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Zhai 等 - 2021 - Africa Would Need to Import More Maize in the Future Even Under 1.5°C Warming Scenario.pdf,1.5°C warming scenario,C4,271.9704635822378,271.9704635822378,field-only scalar,,,False
Ermert 等 - 2012 - The Impact of Regional Climate Change on Malaria Risk due to Greenhouse Forcing and Land-Use Changes.pdf,B1,C5,652.4725285661066,652.4725285661066,field-only scalar,,,False
Ren 等 - 2018 - Economic and biophysical impacts on agriculture under 1.5 °C and 2 °C warming.pdf,1.5°C scenario,C1,271.9704635822378,271.9704635822378,field-only scalar,,,False
Ren 等 - 2018 - Economic and biophysical impacts on agriculture under 1.5 °C and 2 °C warming.pdf,2°C scenario with SSP2 pathway,C1,1793.871566014591,1793.871566014591,field-only scalar,,,False
Yin 等 - 2013 - Past and future spatiotemporal changes in evapotranspiration and effective moisture on the Tibetan P.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Yin 等 - 2013 - Past and future spatiotemporal changes in evapotranspiration and effective moisture on the Tibetan P.pdf,B2,C5,835.4639342141137,835.4639342141137,field-only scalar,,,False
Liu 等 - 2020 - Integrated assessment of climate and human contributions to variations in streamflow in the Ten Grea.pdf,Baseline period,C7: limit warming to 4°C (>50%),4067.198904304981,4067.198904304981,field-only scalar,,,False
Lechuga-Crespo 等 - 2021 - Global carbon sequestration through continental chemical weathering in a climatic change context.pdf,RCP 2.6,C1 (SSP1-2.6 equivalent),~500 Gt CO2 (from 2020),500.0,unit-bound scalar,~,,False
Su 等 - 2024 - Impact of climate change on food security in the Central Asian countries.pdf,SSP1-2.6,C1,~1150 Gt CO₂,1150.0,unit-bound scalar,~,,False
Santillan 等 - 2019 - Vineyards in transition A global assessment of the adaptation needs of grape producing regions unde.pdf,RCP2.6,C1 (RCP equivalent),~400-500 Gt CO2 from 2020 (approximate),450.0,unit-bound range midpoint,~,,False
Spera 等 - 2023 - The effects of climate change on the timing of peak fall foliage in Acadia National Park.pdf,SSP1-2.6,C1,~400 Gt CO2 from 2020,400.0,unit-bound scalar,~,,False
Spera 等 - 2023 - The effects of climate change on the timing of peak fall foliage in Acadia National Park.pdf,SSP2-4.5,C3,1400 GtCO₂,1400.0,unit-bound scalar,,,False
Xue 等 - 2024 - Predicting climate change impacts on distribution and conservation of critically endangered Picea.pdf,SSP1-2.6,C1,~900 Gt CO2 from 2020,900.0,unit-bound scalar,~,,False
Xue 等 - 2024 - Predicting climate change impacts on distribution and conservation of critically endangered Picea.pdf,SSP2-4.5,C5,2750 GtCO₂,2750.0,unit-bound scalar,,,False
Smith 等 - 2024 - Physically-based modelling of UK river flows under climate change.pdf,Baseline climate change scenarios (driven by UKCP18 future climate datasets 1980–2080),C5,4067.198904304981,4067.198904304981,field-only scalar,,,False
"Yazdandoost 等 - 2020 - Evaluation of Water Sustainability under a Changing Climate in Zarrineh River Basin, Iran.pdf",RCP2.6 under Strategy S4,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Jarsjo 等 - 2020 - Projecting impacts of climate change on metal mobilization at contaminated sites Controls by the gr.pdf,S1,C5,893.060956844902,893.060956844902,field-only scalar,,,False
Kelly 等 - 2012 - Projections of mid-century summer air-quality for North America effects of changes in climate and p.pdf,CC,C7,440.0556818855494,440.0556818855494,field-only scalar,,,True
Kelly 等 - 2012 - Projections of mid-century summer air-quality for North America effects of changes in climate and p.pdf,CE,C5,6016.054280938453,6016.054280938453,field-only scalar,,,False
Zhang 等 - 2025 - Vegetation Restoration Potential and Its Hydrological Trade-Offs in Global Drylands Under Historical.pdf,SSP1-2.6,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Worku 等 - 2020 - Statistical bias correction of regional climate model simulations for climate change projection in t.pdf,RCP2.6,C1/C2 (SSP1-2.6 equivalent),~300-900 Gt CO2,600.0,unit-bound range midpoint,~,,False
MacDougall 等 - 2021 - Estimated climate impact of replacing agriculture as the primary food production system.pdf,SSP1-1.9,C1,~500 Gt CO2,500.0,unit-bound scalar,~,,False
MacDougall 等 - 2021 - Estimated climate impact of replacing agriculture as the primary food production system.pdf,SSP4-6.0,C4,3780.382844728474 GtCO₂ from 2020,3780.382844728474,unit-bound scalar,,,False
Li 等 - 2024 - Hydrological Drought and Flood Projection in the Upper Heihe River Basin Based on a Multi-GCM Ensemb.pdf,SSP245,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
Leonel Simental-Rodriguez 等 - 2021 - Modelling Shifts and Contraction of Seed Zones in Two Mexican Pine Species by Using Molecular Marker.pdf,RCP~4.5Wm−2,C4 (2°C),~1500 GtCO2 from 2020,1500.0,unit-bound scalar,~,,False
Lu 等 - 2019 - Uncertainty and hotspots in 21st century projections of agricultural drought from CMIP5 models.pdf,RCP2.6,C1 (Below 1.5°C),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Slama 等 - 2020 - Impact of rainfall structure and climate change on soil and groundwater salinization.pdf,RCP4.5,C3 (RCP equivalent),~1950 GtCO₂ from 2015,1950.0,unit-bound scalar,~,,False
"Mora 等 - 2014 - Climate changes of hydrometeorological and hydrological extremes in the Paute basin, Ecuadorean Ande.pdf",A2 - High population growth and regional fragmentation leading to increased greenhouse gas emissions,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
"Mora 等 - 2014 - Climate changes of hydrometeorological and hydrological extremes in the Paute basin, Ecuadorean Ande.pdf",B1,C5,652.4725285661066,652.4725285661066,field-only scalar,,,False
"Song 等 - 2020 - Centuries of monthly and 3-hourly global ocean wave data for past, present, and future climate resea.pdf",ssp126,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
"Song 等 - 2020 - Centuries of monthly and 3-hourly global ocean wave data for past, present, and future climate resea.pdf",ssp245,C5,2744.812344177873,2744.812344177873,field-only scalar,,,False
Martin 等 - 2021 - Assessing the long-term effectiveness of Nature-Based Solutions under different climate change scena.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Singh和Milner-Gulland - 2011 - Conserving a moving target planning protection for a migratory species as its distribution changes.pdf,T+,C2: return warming to 1.5°C (>50%) after a high overshoot,212.8537743020109,212.8537743020109,field-only scalar,,,False
Singh和Milner-Gulland - 2011 - Conserving a moving target planning protection for a migratory species as its distribution changes.pdf,D+,C5: limit warming to 2.5°C (>50%),1265.536430416577,1265.536430416577,field-only scalar,,,False
Singh和Milner-Gulland - 2011 - Conserving a moving target planning protection for a migratory species as its distribution changes.pdf,P+,C3: limit warming to 2°C (>67%),942.4855433794125,942.4855433794125,field-only scalar,,,False
Singh和Milner-Gulland - 2011 - Conserving a moving target planning protection for a migratory species as its distribution changes.pdf,G+,C3: limit warming to 2°C (>67%),938.7004641166634,938.7004641166634,field-only scalar,,,False
Seidl和Lexer - 2013 - Forest management under climatic and social uncertainty Trade-offs between reducing climate change.pdf,B1,C4,652.4725285661066,652.4725285661066,field-only scalar,,,False
Mastrucci 等 - 2025 - Towards net-zero emissions in global residential heating and cooling a global scenario analysis.pdf,NPi-REF,C7,4631.628201551354,4631.628201551354,field-only scalar,,,False
Mastrucci 等 - 2025 - Towards net-zero emissions in global residential heating and cooling a global scenario analysis.pdf,1.5C-ALL,C1,~500 GtCO2,500.0,unit-bound scalar,~,,False
Zhao 等 - 2019 - The evolvement mechanism of hydro-meteorological elements under climate change and the interaction i.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Zhao 等 - 2019 - The evolvement mechanism of hydro-meteorological elements under climate change and the interaction i.pdf,B1,C5,652.4725285661066,652.4725285661066,field-only scalar,,,False
Ramanathan 等 - 2022 - Modelling human-natural systems interactions with implications for twenty-first-century warming.pdf,1.5°C-compatible,C1,~500 Gt CO2,500.0,unit-bound scalar,~,,False
Byers 等 - 2018 - Global exposure and vulnerability to multi-sector development and climate change hotspots.pdf,SSP2-4.5,C6,"1170 GtCO₂ (IPCC AR6 WGIII, 2020-2100, 50 % chance)",1170.0,unit-bound scalar,,,False
"Woltemade和Hawkins - 2016 - Stream Temperature Impacts Because of Changes in Air Temperature, Land Cover and Stream Discharge N.pdf",Upland Reforestation,C7: limit warming to 4°C (>50%),4631.628201551354,4631.628201551354,field-only scalar,,,False
Wolkinger 等 - 2012 - Implementing Europe's climate targets at the regional level.pdf,Non-ETS emission-reduction scenario (Styria),C5,4067.198904304981,4067.198904304981,field-only scalar,,,False
Zheng 等 - 2020 - Soil water status triggers CO2 fertilization effect on the growth of winter wheat (Tri.pdf,Elevated CO2 concentration under full irrigation,C5: limit warming to 2.5°C (>50%),1793.871566014591,1793.871566014591,field-only scalar,,,False
Zheng 等 - 2020 - Soil water status triggers CO2 fertilization effect on the growth of winter wheat (Tri.pdf,Effects of elevated CO2 concentration on winter wheat growth under severe water stress,C5: limit warming to 2.5°C (>50%),1793.871566014591,1793.871566014591,field-only scalar,,,False
Sun 等 - 2000 - Climate change impacts on the hydrology and productivity of a pine plantation.pdf,HADCM2 climate change scenario,C3,1793.871566014591,1793.871566014591,field-only scalar,,,False
"Zhang 等 - 2012 - Projection of glacier runoff in Yarkant River basin and Beida River basin, Western China.pdf",A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
"Zhang 等 - 2012 - Projection of glacier runoff in Yarkant River basin and Beida River basin, Western China.pdf",B1,C5,652.4725285661066,652.4725285661066,field-only scalar,,,False
Liang 等 - 2024 - Measuring rising heat and flood risk along the belt-and-road initiative.pdf,SSP1-2.6,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Liang 等 - 2024 - Measuring rising heat and flood risk along the belt-and-road initiative.pdf,SSP2-4.5,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
Lara-Estrada 等 - 2021 - Land in Central America will become less suitable for coffee cultivation under climate change.pdf,RCP2.6,Low GHG emissions,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Streck 等 - 2010 - Maize leaf development under climate change scenarios.pdf,+2°C increase,C5: limit warming to 2.5°C (>50%),1793.871566014591,1793.871566014591,field-only scalar,,,False
Zhao Ze-fang 等 - 2016 - Potential distribution of Panax ginseng and its predicted responses to climate change.pdf,RCP 2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Yan和Mohammadian - 2020 - Estimating future daily pan evaporation for Qatar using the Hargreaves model and statistically downs.pdf,RCP26,C1 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Winckler 等 - 2017 - Why does the locally induced temperature response to land cover change differ across scenarios.pdf,RCP2.6,C1 (RCP/SSP1-2.6 equivalent),~300-900 Gt CO2,600.0,unit-bound range midpoint,~,,False
Clark 等 - 2025 - Stratospheric aerosol climate intervention could reduce crop nutritional value.pdf,ARISE-SAI-1.5 C,C3,~500 Gt CO2,500.0,unit-bound scalar,~,,False
Lin 等 - 2020 - Scenario-based flood risk assessment for urbanizing deltas using future land-use simulation (FLUS).pdf,RCP2.6,C3 (RCP equivalent),"~900 Gt CO2 (approximate global RCP2.6 value, SSP1-2.6 WG1 table 5.8)",900.0,unit-bound scalar,~,,False
Nenzen 等 - 2023 - Oil sands restoration with warm-adapted trees improves outcomes under moderate but not severe warmin.pdf,SSP2-4.5,C3,2744.812344177873,2744.812344177873,field-only scalar,,,False
Li 等 - 2025 - Identifying Priority Nutrients for Achieving Water Quality Improvement and Climate Change Mitigation.pdf,S1,C3: limit warming to 2°C (>67%),893.060956844902,893.060956844902,field-only scalar,,,False
Li 等 - 2025 - Identifying Priority Nutrients for Achieving Water Quality Improvement and Climate Change Mitigation.pdf,S2,C4: limit warming to 2°C (>50%),1447.733517816087,1447.733517816087,field-only scalar,,,False
Mitra 等 - 2024 - Assessing the impact of sea level rise on the Indus delta in Pakistan A comprehensive analysis of f.pdf,SSP1-1.9,N/A (not stated),N/A (not stated),,excluded,,explicitly missing/unspecified,False
Kondo 等 - 2018 - Land use change and El Nino-Southern Oscillation drive decadal carbon balance shifts in Southeast As.pdf,TRENDY S3,C3,~900 Gt CO2,900.0,unit-bound scalar,~,,False
Michel 等 - 2022 - Future water temperature of rivers in Switzerland under climate change investigated with physics-bas.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Rintoul 等 - 2018 - Choosing the future of Antarctica.pdf,RCP2.6,C1 (RCP equivalent),~500 Gt CO₂ from 2020,500.0,unit-bound scalar,~,,False
Myhre 等 - 2018 - Sensible heat has significantly affected the global hydrological cycle over the historical period.pdf,RCP2.6,C3 (RCP equivalent),~900 Gt CO2,900.0,unit-bound scalar,~,,False
Munoz 等 - 2013 - Updating Known Distribution Models for Forecasting Climate Change Impact on Endangered Species.pdf,A2,C5,102.7723603383973,102.7723603383973,field-only scalar,,,True
Munoz 等 - 2013 - Updating Known Distribution Models for Forecasting Climate Change Impact on Endangered Species.pdf,B2,C5,835.4639342141137,835.4639342141137,field-only scalar,,,False
